CBSA,CBSA Geography,Population Estimate,Year
,United States,321418820,2015
,In metropolitan statistical area,275252217,2015
10180,"Abilene, TX Metro Area",169578,2015
10420,"Akron, OH Metro Area",704243,2015
10500,"Albany, GA Metro Area",153526,2015
10540,"Albany, OR Metro Area",120547,2015
10580,"Albany-Schenectady-Troy, NY Metro Area",881830,2015
10740,"Albuquerque, NM Metro Area",907301,2015
10780,"Alexandria, LA Metro Area",154484,2015
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832327,2015
11020,"Altoona, PA Metro Area",125593,2015
11100,"Amarillo, TX Metro Area",262056,2015
11180,"Ames, IA Metro Area",96021,2015
11260,"Anchorage, AK Metro Area",399790,2015
11460,"Ann Arbor, MI Metro Area",358880,2015
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115620,2015
11540,"Appleton, WI Metro Area",233007,2015
11700,"Asheville, NC Metro Area",446840,2015
12020,"Athens-Clarke County, GA Metro Area",203189,2015
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5710795,2015
12100,"Atlantic City-Hammonton, NJ Metro Area",274219,2015
12220,"Auburn-Opelika, AL Metro Area",156993,2015
12260,"Augusta-Richmond County, GA-SC Metro Area",590146,2015
12420,"Austin-Round Rock, TX Metro Area",2000860,2015
12540,"Bakersfield, CA Metro Area",882176,2015
12580,"Baltimore-Columbia-Towson, MD Metro Area",2797407,2015
12620,"Bangor, ME Metro Area",152692,2015
12700,"Barnstable Town, MA Metro Area",214333,2015
12940,"Baton Rouge, LA Metro Area",830480,2015
12980,"Battle Creek, MI Metro Area",134314,2015
13020,"Bay City, MI Metro Area",105659,2015
13140,"Beaumont-Port Arthur, TX Metro Area",408419,2015
13220,"Beckley, WV Metro Area",122507,2015
13380,"Bellingham, WA Metro Area",212284,2015
13460,"Bend-Redmond, OR Metro Area",175268,2015
13740,"Billings, MT Metro Area",168283,2015
13780,"Binghamton, NY Metro Area",246020,2015
13820,"Birmingham-Hoover, AL Metro Area",1145647,2015
