"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count	Population	Age-Adjusted Rate
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Alabama"	"01"	3339	4430141	72.8
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Alaska"	"02"	275	624779	79.2
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Arizona"	"04"	3047	5023823	59.6
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"California"	"06"	17481	33499204	61.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Colorado"	"08"	1766	4226018	51.7
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Connecticut"	"09"	2492	3386401	68.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Delaware"	"10"	654	774990	82.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"District of Columbia"	"11"	420	570213	76.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Florida"	"12"	15631	15759421	77.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Georgia"	"13"	4942	8045965	74.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Hawaii"	"15"	687	1210300	55.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Idaho"	"16"	629	1275674	54.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Illinois"	"17"	8763	12359020	74.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Indiana"	"18"	4669	6044969	78.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Iowa"	"19"	2203	2917634	67.6
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Kansas"	"20"	1802	2678338	66.6
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Kentucky"	"21"	4050	4018053	100.2
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Louisiana"	"22"	3490	4460811	84.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Maine"	"23"	1107	1266808	78.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Maryland"	"24"	3697	5254509	75.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Massachusetts"	"25"	4804	6317345	72.9
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Michigan"	"26"	7294	9897116	75.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Minnesota"	"27"	2647	4873481	57.2
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Missouri"	"29"	4754	5561948	81.6
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Montana"	"30"	601	897507	63.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Nebraska"	"31"	1084	1704764	61.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Nevada"	"32"	1457	1934718	81.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"New Hampshire"	"33"	840	1222014	70.9
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"New Jersey"	"34"	5963	8359592	68.6
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"New Mexico"	"35"	810	1808082	48.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"New York"	"36"	12672	18882725	66.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"North Carolina"	"37"	5514	7949361	70.7
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"North Dakota"	"38"	374	644259	53.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Ohio"	"39"	9171	11335454	77.8
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Oklahoma"	"40"	2853	3437147	80.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Oregon"	"41"	2550	3393941	73.9
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Pennsylvania"	"42"	9999	12263805	69.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Rhode Island"	"44"	916	1040402	80.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"South Carolina"	"45"	3004	3974682	76.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Tennessee"	"47"	3956	5638706	69.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Texas"	"48"	11978	20558220	71.4
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Utah"	"49"	522	2203482	34.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Vermont"	"50"	438	604683	71.3
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Virginia"	"51"	4112	7000174	63.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Washington"	"53"	3950	5842564	74.0
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"West Virginia"	"54"	2033	1811799	94.9
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Wisconsin"	"55"	3603	5332666	66.5
	"Lung and Bronchus"	"22030"	"1999"	"1999"	"Wyoming"	"56"	281	491780	60.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Alabama"	"01"	3440	4452173	74.4
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Alaska"	"02"	260	627963	72.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Arizona"	"04"	3184	5160586	60.7
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"California"	"06"	17523	33987977	60.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Colorado"	"08"	1885	4326921	53.6
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Connecticut"	"09"	2466	3411777	67.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Delaware"	"10"	629	786373	77.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"District of Columbia"	"11"	356	572046	64.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Florida"	"12"	15940	16047515	77.6
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Georgia"	"13"	5280	8227303	78.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Hawaii"	"15"	652	1213519	51.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Idaho"	"16"	743	1299430	62.9
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Illinois"	"17"	8619	12434161	72.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Indiana"	"18"	4671	6091866	77.7
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Iowa"	"19"	2232	2929067	68.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Kansas"	"20"	1745	2693681	64.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Kentucky"	"21"	4157	4049021	101.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Louisiana"	"22"	3433	4471885	82.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Maine"	"23"	1173	1277072	81.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Maryland"	"24"	3579	5311034	71.6
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Massachusetts"	"25"	4783	6361104	71.8
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Michigan"	"26"	7337	9952450	75.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Minnesota"	"27"	2683	4933692	57.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Missouri"	"29"	4543	5607285	77.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Montana"	"30"	690	903773	71.7
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Nebraska"	"31"	1103	1713820	62.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Nevada"	"32"	1581	2018741	85.4
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"New Hampshire"	"33"	868	1239882	71.6
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"New Jersey"	"34"	6012	8430621	68.4
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"New Mexico"	"35"	843	1821204	49.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"New York"	"36"	13047	19001780	67.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"North Carolina"	"37"	5685	8081614	71.7
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"North Dakota"	"38"	382	642023	55.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Ohio"	"39"	8830	11363543	74.4
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Oklahoma"	"40"	2966	3454365	82.8
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Oregon"	"41"	2483	3429708	71.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Pennsylvania"	"42"	10093	12284173	69.8
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Rhode Island"	"44"	924	1050268	80.7
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"South Carolina"	"45"	2998	4024223	74.9
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Tennessee"	"47"	3991	5703719	69.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Texas"	"48"	11996	20944499	70.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Utah"	"49"	440	2244502	28.2
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Vermont"	"50"	411	609618	65.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Virginia"	"51"	4190	7105817	63.0
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Washington"	"53"	3874	5910512	71.3
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"West Virginia"	"54"	1999	1807021	92.8
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Wisconsin"	"55"	3477	5373999	63.5
	"Lung and Bronchus"	"22030"	"2000"	"2000"	"Wyoming"	"56"	255	494300	54.0
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Alabama"	"01"	3644	4467634	77.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Alaska"	"02"	283	633714	74.4
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Arizona"	"04"	3308	5273477	61.7
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Arkansas"	"05"	2442	2691571	83.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"California"	"06"	17585	34479458	59.1
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Colorado"	"08"	2019	4425687	56.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Connecticut"	"09"	2547	3432835	68.8
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Delaware"	"10"	623	795699	75.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"District of Columbia"	"11"	407	574504	73.1
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Florida"	"12"	15702	16356966	75.1
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Georgia"	"13"	5375	8377038	77.8
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Hawaii"	"15"	616	1225948	47.5
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Idaho"	"16"	631	1319962	52.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Illinois"	"17"	8795	12488445	73.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Indiana"	"18"	4874	6127760	80.5
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Iowa"	"19"	2189	2931997	66.4
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Kansas"	"20"	1774	2702162	64.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Kentucky"	"21"	4282	4068132	103.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Louisiana"	"22"	3504	4477875	82.8
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Maine"	"23"	1203	1285692	82.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Maryland"	"24"	3386	5374691	66.5
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Massachusetts"	"25"	4877	6397634	72.8
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Michigan"	"26"	7408	9991120	74.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Minnesota"	"27"	2773	4982796	58.3
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Missouri"	"29"	4551	5641142	76.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Montana"	"30"	692	906961	70.7
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Nebraska"	"31"	1123	1719836	63.2
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Nevada"	"32"	1556	2098399	79.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"New Hampshire"	"33"	847	1255517	68.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"New Jersey"	"34"	6044	8492671	68.2
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"New Mexico"	"35"	824	1831690	46.8
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"New York"	"36"	12805	19082838	65.4
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"North Carolina"	"37"	5603	8210122	69.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"North Dakota"	"38"	384	639062	55.0
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Ohio"	"39"	9223	11387404	77.2
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Oklahoma"	"40"	3102	3467100	85.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Oregon"	"41"	2560	3467937	72.1
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Pennsylvania"	"42"	10341	12298970	71.4
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Rhode Island"	"44"	832	1057142	72.0
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"South Carolina"	"45"	3105	4064995	76.2
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"South Dakota"	"46"	487	757972	59.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Tennessee"	"47"	4082	5750789	69.7
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Texas"	"48"	12382	21319622	70.9
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Utah"	"49"	507	2283715	31.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Vermont"	"50"	412	612223	64.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Virginia"	"51"	4108	7198362	60.5
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Washington"	"53"	3978	5985722	72.0
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"West Virginia"	"54"	2026	1801481	93.6
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Wisconsin"	"55"	3692	5406835	66.7
	"Lung and Bronchus"	"22030"	"2001"	"2001"	"Wyoming"	"56"	245	494657	50.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Alabama"	"01"	3627	4480089	76.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Alaska"	"02"	289	642337	72.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Arizona"	"04"	3251	5396255	59.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Arkansas"	"05"	2453	2705927	82.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"California"	"06"	17469	34871843	57.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Colorado"	"08"	2064	4490406	56.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Connecticut"	"09"	2629	3458749	70.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Delaware"	"10"	622	806169	73.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Florida"	"12"	15954	16689370	74.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Georgia"	"13"	5514	8508256	77.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Hawaii"	"15"	684	1239613	51.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Idaho"	"16"	683	1340372	55.3
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Illinois"	"17"	9043	12525556	74.7
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Indiana"	"18"	4978	6155967	81.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Iowa"	"19"	2228	2934234	67.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Kansas"	"20"	1720	2713535	62.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Kentucky"	"21"	4304	4089875	102.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Louisiana"	"22"	3316	4497267	77.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Maine"	"23"	1184	1295960	79.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Maryland"	"24"	3614	5440389	69.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Massachusetts"	"25"	4937	6417206	73.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Michigan"	"26"	7406	10015710	74.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Minnesota"	"27"	2826	5018935	58.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Missouri"	"29"	4878	5674825	81.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Montana"	"30"	667	911667	67.0
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Nebraska"	"31"	1132	1728292	62.9
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Nevada"	"32"	1637	2173791	80.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"New Hampshire"	"33"	891	1269089	71.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"New Jersey"	"34"	6077	8552643	67.7
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"New Mexico"	"35"	904	1855309	50.3
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"New York"	"36"	13021	19137800	65.7
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"North Carolina"	"37"	6000	8326201	72.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"North Dakota"	"38"	420	638168	59.3
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Ohio"	"39"	9224	11407889	76.4
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Oklahoma"	"40"	3138	3489080	85.8
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Oregon"	"41"	2582	3513424	71.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Pennsylvania"	"42"	10477	12331031	71.6
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Rhode Island"	"44"	907	1065995	78.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"South Carolina"	"45"	3162	4107795	76.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"South Dakota"	"46"	516	760020	62.2
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Tennessee"	"47"	4308	5795918	72.1
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Texas"	"48"	12584	21690325	70.5
	"Lung and Bronchus"	"22030"	"2002"	"2002"	"Utah"	"49"	485	2324815	29.5
