"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Alabama"	"01"	3613	4430141	78.8
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Alaska"	"02"	298	624779	84.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Arizona"	"04"	3260	5023823	63.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"California"	"06"	18723	33499204	65.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Colorado"	"08"	1904	4226018	55.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Connecticut"	"09"	2711	3386401	74.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Delaware"	"10"	713	774990	89.8
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"District of Columbia"	"11"	460	570213	83.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Florida"	"12"	16955	15759421	84.4
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Georgia"	"13"	5396	8045965	80.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Hawaii"	"15"	739	1210300	59.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Idaho"	"16"	694	1275674	59.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Illinois"	"17"	9461	12359020	79.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Indiana"	"18"	4995	6044969	83.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Iowa"	"19"	2369	2917634	72.9
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Kansas"	"20"	1927	2678338	71.3
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Kentucky"	"21"	4334	4018053	107.2
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Louisiana"	"22"	3793	4460811	91.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Maine"	"23"	1187	1266808	84.0
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Maryland"	"24"	4009	5254509	81.6
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Massachusetts"	"25"	5168	6317345	78.5
	"Respiratory System"	"22010-22060"	"1999"	"1999"	"Michigan"	"26"	7889	9897116	81.5
