,County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,County.1,CountyName1,CountyName,State,countyname,ssacounty,fipscounty,cbsa,cbsaname,ssast,fipst
0,"Union County, Florida(6,10)",12125,***,224.2,191.2,261.3,38,stable,4.9,-10.6,23.1,Union,Union County,UNION COUNTY,FL,UNION,10620.0,12125.0,,,10.0,12.0
1,"Owsley County, Kentucky(7,8)",21189,***,169.9,126.9,224.4,11,rising,4,0.2,7.9,Owsley,Owsley County,OWSLEY COUNTY,KY,OWSLEY,18931.0,21189.0,,,18.0,21.0
2,"McCreary County, Kentucky(7,8)",21147,***,163.2,138.6,191.1,33,stable,-0.1,-2.6,2.4,McCreary,McCreary County,MCCREARY COUNTY,KY,,,,,,,
3,"Powell County, Kentucky(7,8)",21197,***,153.9,126.6,185.8,23,stable,1.4,-2.6,5.5,Powell,Powell County,POWELL COUNTY,KY,POWELL,18971.0,21197.0,,,18.0,21.0
4,"Leslie County, Kentucky(7,8)",21131,***,147.6,120.5,179.5,22,stable,0.5,-3,4.1,Leslie,Leslie County,LESLIE COUNTY,KY,LESLIE,18650.0,21131.0,,,18.0,21.0
5,"North Slope Borough, Alaska(6,10)",2185,***,146.1,92.4,215.8,6,stable,-12,-44.1,38.5,North Slope,North Slope County,NORTH SLOPE COUNTY,AK,,,,,,,
6,"Floyd County, Kentucky(7,8)",21071,***,139.5,124.8,155.5,69,stable,-0.9,-2.9,1,Floyd,Floyd County,FLOYD COUNTY,KY,FLOYD,18350.0,21071.0,,,18.0,21.0
7,"Martin County, Kentucky(7,8)",21159,***,132.7,106.7,163.2,19,stable,0.3,-2.6,3.4,Martin,Martin County,MARTIN COUNTY,KY,MARTIN,18790.0,21159.0,,,18.0,21.0
8,"Bracken County, Kentucky(7,8)",21023,***,131.4,101.9,167.3,14,stable,0.8,-2.8,4.5,Bracken,Bracken County,BRACKEN COUNTY,KY,BRACKEN,18110.0,21023.0,17140.0,"Cincinnati, OH-KY-IN",18.0,21.0
9,"Perry County, Kentucky(7,8)",21193,***,129,112.5,147.5,46,stable,-2.1,-5,0.9,Perry,Perry County,PERRY COUNTY,KY,PERRY,18960.0,21193.0,,,18.0,21.0
10,"Harlan County, Kentucky(7,8)",21095,***,126.6,110.6,144.4,47,stable,0.6,-1.6,2.9,Harlan,Harlan County,HARLAN COUNTY,KY,HARLAN,18470.0,21095.0,,,18.0,21.0
11,"Estill County, Kentucky(7,8)",21065,***,125.3,103.4,150.8,24,stable,1.9,-0.6,4.5,Estill,Estill County,ESTILL COUNTY,KY,ESTILL,18320.0,21065.0,,,18.0,21.0
12,"Hart County, Kentucky(7,8)",21099,***,124.9,105.5,147.2,30,stable,1.5,-0.6,3.6,Hart,Hart County,HART COUNTY,KY,HART,18490.0,21099.0,,,18.0,21.0
13,"Gallatin County, Kentucky(7,8)",21077,***,123,91.1,162.5,11,stable,0.1,-5,5.4,Gallatin,Gallatin County,GALLATIN COUNTY,KY,GALLATIN,18362.0,21077.0,17140.0,"Cincinnati, OH-KY-IN",18.0,21.0
14,"Grayson County, Kentucky(7,8)",21085,***,122.8,106.2,141.4,40,stable,-11.1,-25.8,6.4,Grayson,Grayson County,GRAYSON COUNTY,KY,GRAYSON,18420.0,21085.0,,,18.0,21.0
15,"Pike County, Kentucky(7,8)",21195,***,122.1,111.3,133.7,98,stable,0.5,-0.9,2,Pike,Pike County,PIKE COUNTY,KY,PIKE,18970.0,21195.0,,,18.0,21.0
16,"Knott County, Kentucky(7,8)",21119,***,121.9,100.7,146.5,25,stable,4.4,-1.8,11,Knott,Knott County,KNOTT COUNTY,KY,KNOTT,18590.0,21119.0,,,18.0,21.0
17,"Menifee County, Kentucky(7,8)",21165,***,121.4,89.9,161.4,11,stable,2.9,-1.7,7.9,Menifee,Menifee County,MENIFEE COUNTY,KY,MENIFEE,18802.0,21165.0,,,18.0,21.0
18,"Whitley County, Kentucky(7,8)",21235,***,121.1,106.3,137.5,50,stable,0.6,-1.2,2.5,Whitley,Whitley County,WHITLEY COUNTY,KY,WHITLEY,18990.0,21235.0,,,18.0,21.0
19,"Lewis County, Kentucky(7,8)",21135,***,121.1,98.9,147.2,21,stable,0.5,-1.2,2.4,Lewis,Lewis County,LEWIS COUNTY,KY,LEWIS,18670.0,21135.0,,,18.0,21.0
20,"Breathitt County, Kentucky(7,8)",21025,***,120.8,98.3,147.2,21,stable,1.1,-3.7,6.1,Breathitt,Breathitt County,BREATHITT COUNTY,KY,BREATHITT,18120.0,21025.0,,,18.0,21.0
21,"Letcher County, Kentucky(7,8)",21133,***,120.7,103.7,140,38,stable,-0.9,-2.8,1.1,Letcher,Letcher County,LETCHER COUNTY,KY,LETCHER,18660.0,21133.0,,,18.0,21.0
22,"Ohio County, Kentucky(7,8)",21183,***,120.7,103.8,139.8,38,stable,0.7,-1.1,2.6,Ohio,Ohio County,OHIO COUNTY,KY,OHIO,18910.0,21183.0,,,18.0,21.0
23,"Carroll County, Kentucky(7,8)",21041,***,120.7,94.9,151.6,16,stable,-0.9,-3.3,1.5,Carroll,Carroll County,CARROLL COUNTY,KY,CARROLL,18191.0,21041.0,,,18.0,21.0
24,"Lee County, Kentucky(7,8)",21129,***,120.1,89.4,158.7,11,stable,-0.1,-3.4,3.3,Lee,Lee County,LEE COUNTY,KY,LEE,18640.0,21129.0,,,18.0,21.0
25,"Clay County, Kentucky(7,8)",21051,***,119.9,100.7,141.7,29,stable,1,-1.5,3.5,Clay,Clay County,CLAY COUNTY,KY,CLAY,18250.0,21051.0,,,18.0,21.0
26,"Knox County, Kentucky(7,8)",21121,***,119.7,104.7,136.3,48,stable,-1,-2.8,0.9,Knox,Knox County,KNOX COUNTY,KY,KNOX,18600.0,21121.0,,,18.0,21.0
27,"Wolfe County, Kentucky(7,8)",21237,***,119.2,90.3,155.4,12,falling,-3.8,-7.2,-0.3,Wolfe,Wolfe County,WOLFE COUNTY,KY,WOLFE,18991.0,21237.0,,,18.0,21.0
28,"Pulaski County, Illinois(6,10)",17153,***,117.1,86.7,156.2,10,stable,1.8,-34.3,57.6,Pulaski,Pulaski County,PULASKI COUNTY,IL,PULASKI,14850.0,17153.0,,,14.0,17.0
29,"Metcalfe County, Kentucky(7,8)",21169,***,116.7,92.1,146.5,16,stable,-0.3,-2.9,2.4,Metcalfe,Metcalfe County,METCALFE COUNTY,KY,METCALFE,18831.0,21169.0,,,18.0,21.0
30,"New Madrid County, Missouri(6,10)",29143,***,116.4,97.8,137.7,29,falling,-5.1,-9.2,-1,New Madrid,New Madrid County,NEW MADRID COUNTY,MO,NEW MADRID,26710.0,29143.0,,,26.0,29.0
31,"Mason County, Kentucky(7,8)",21161,***,116.2,96.6,138.9,26,rising,3.6,0.5,6.8,Mason,Mason County,MASON COUNTY,KY,MASON,18800.0,21161.0,,,18.0,21.0
32,"Rockcastle County, Kentucky(7,8)",21203,***,115.8,95.9,138.9,25,stable,0.8,-1,2.6,Rockcastle,Rockcastle County,ROCKCASTLE COUNTY,KY,ROCKCASTLE,18974.0,21203.0,,,18.0,21.0
33,"Claiborne County, Tennessee(6,10)",47025,***,115.5,101.3,131.2,50,stable,8.5,-1.2,19.2,Claiborne,Claiborne County,CLAIBORNE COUNTY,TN,CLAIBORNE,44120.0,47025.0,,,44.0,47.0
34,"Woodruff County, Arkansas(6,10)",5147,***,115.3,86.3,151.7,11,stable,-0.8,-34,49.2,Woodruff,Woodruff County,WOODRUFF COUNTY,AR,WOODRUFF,4730.0,5147.0,,,4.0,5.0
35,"Yalobusha County, Mississippi(6,10)",28161,***,114.8,93.3,140.3,20,stable,-8.4,-22.1,7.7,Yalobusha,Yalobusha County,YALOBUSHA COUNTY,MS,YALOBUSHA,25800.0,28161.0,,,25.0,28.0
36,"Madison County, Missouri(6,10)",29123,***,114.7,93.1,140.3,20,stable,0.9,-10.7,13.9,Madison,Madison County,MADISON COUNTY,MO,MADISON,26601.0,29123.0,,,26.0,29.0
37,"Carter County, Missouri(6,10)",29035,***,113.9,83,153.5,10,stable,-3.9,-41.1,56.9,Carter,Carter County,CARTER COUNTY,MO,CARTER,26170.0,29035.0,,,26.0,29.0
38,"Jackson County, Arkansas(6,10)",5067,***,112.9,94.3,134.5,26,stable,-8.9,-29.1,17,Jackson,Jackson County,JACKSON COUNTY,AR,JACKSON,4330.0,5067.0,,,4.0,5.0
39,"Logan County, West Virginia(6,10)",54045,***,112.2,99,126.9,55,stable,-4.6,-17.4,10.1,Logan,Logan County,LOGAN COUNTY,WV,LOGAN,51220.0,54045.0,,,51.0,54.0
40,"Monroe County, Kentucky(7,8)",21171,***,112.1,89,139.9,17,stable,3,-2,8.2,Monroe,Monroe County,MONROE COUNTY,KY,MONROE,18850.0,21171.0,,,18.0,21.0
41,"Casey County, Kentucky(7,8)",21045,***,112,92.4,134.9,24,stable,0.8,-2.7,4.3,Casey,Casey County,CASEY COUNTY,KY,CASEY,18220.0,21045.0,,,18.0,21.0
42,"Carlisle County, Kentucky(7,8)",21039,***,111.2,80.3,152.1,9,stable,-1.1,-5.7,3.8,Carlisle,Carlisle County,CARLISLE COUNTY,KY,CARLISLE,18190.0,21039.0,,,18.0,21.0
43,"Vinton County, Ohio(6,10)",39163,***,111.1,89,137.3,18,stable,2,-30.1,48.9,Vinton,Vinton County,VINTON COUNTY,OH,VINTON,36830.0,39163.0,,,36.0,39.0
44,"Nome Census Area, Alaska(6,10)",2180,***,111.1,75.1,156.9,7,stable,-20.2,-37.3,1.6,Nome,Nome County,NOME COUNTY,AK,NOME,2180.0,2180.0,,,2.0,2.0
45,"Polk County, Tennessee(6,10)",47139,***,110.8,92.5,132.2,27,stable,-10.9,-33.9,20.1,Polk,Polk County,POLK COUNTY,TN,POLK,44690.0,47139.0,17420.0,"Cleveland, TN",44.0,47.0
46,"Johnson County, Kentucky(7,8)",21115,***,110.6,94,129.5,33,stable,-0.5,-2.6,1.5,Johnson,Johnson County,JOHNSON COUNTY,KY,JOHNSON,18570.0,21115.0,,,18.0,21.0
47,"Livingston County, Kentucky(7,8)",21139,***,109.5,86,138.4,16,stable,2.1,-1.6,6,Livingston,Livingston County,LIVINGSTON COUNTY,KY,LIVINGSTON,18690.0,21139.0,,,18.0,21.0
48,"Bell County, Kentucky(7,8)",21013,***,109.5,94.6,126.1,40,stable,-0.5,-2.9,2,Bell,Bell County,BELL COUNTY,KY,BELL,18060.0,21013.0,,,18.0,21.0
49,"McLean County, Kentucky(7,8)",21149,***,109.4,85.4,138.7,15,stable,0.6,-2.5,3.9,McLean,McLean County,MCLEAN COUNTY,KY,,,,,,,
50,"Trousdale County, Tennessee(6,10)",47169,***,109.2,80.8,144.8,10,stable,14.5,-10,45.7,Trousdale,Trousdale County,TROUSDALE COUNTY,TN,TROUSDALE,44840.0,47169.0,34980.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",44.0,47.0
51,"Meade County, Kentucky(7,8)",21163,***,108.9,91.9,128.1,31,falling,-11.3,-20.2,-1.3,Meade,Meade County,MEADE COUNTY,KY,MEADE,18801.0,21163.0,21060.0,"Elizabethtown-Fort Knox, KY",18.0,21.0
52,"Nicholas County, Kentucky(7,8)",21181,***,108.8,80.6,144.4,10,stable,2.9,-2,8.1,Nicholas,Nicholas County,NICHOLAS COUNTY,KY,NICHOLAS,18900.0,21181.0,,,18.0,21.0
53,"Poinsett County, Arkansas(6,10)",5111,***,108.7,93,126.4,35,stable,1.5,-13.1,18.6,Poinsett,Poinsett County,POINSETT COUNTY,AR,POINSETT,4550.0,5111.0,27860.0,"Jonesboro, AR",4.0,5.0
54,"Boone County, West Virginia(6,10)",54005,***,108.5,92.3,126.9,34,stable,2.7,-8.6,15.5,Boone,Boone County,BOONE COUNTY,WV,BOONE,51020.0,54005.0,16620.0,"Charleston, WV",51.0,54.0
55,"Barren County, Kentucky(7,8)",21009,***,108.3,96.2,121.5,60,stable,0.9,-0.4,2.2,Barren,Barren County,BARREN COUNTY,KY,BARREN,18040.0,21009.0,,,18.0,21.0
56,"Breckinridge County, Kentucky(7,8)",21027,***,108.2,90.9,128.1,29,stable,1.7,-1,4.6,Breckinridge,Breckinridge County,BRECKINRIDGE COUNTY,KY,BRECKINRIDGE,18130.0,21027.0,,,18.0,21.0
57,"Crawford County, Georgia(7,8)",13079,***,108.1,85.6,135.1,17,stable,1.6,-2,5.4,Crawford,Crawford County,CRAWFORD COUNTY,GA,CRAWFORD,11330.0,13079.0,31420.0,"Macon, GA",11.0,13.0
58,"Lawrence County, Kentucky(7,8)",21127,***,107.9,88.1,131.1,22,stable,-1.3,-3.5,1.1,Lawrence,Lawrence County,LAWRENCE COUNTY,KY,LAWRENCE,18630.0,21127.0,,,18.0,21.0
59,"Iron County, Missouri(6,10)",29093,***,107.9,85.6,135,17,stable,2.9,-28.2,47.4,Iron,Iron County,IRON COUNTY,MO,IRON,26460.0,29093.0,,,26.0,29.0
60,"Lewis County, Tennessee(6,10)",47101,***,107.8,86.2,133.7,18,stable,1.9,-27.3,42.8,Lewis,Lewis County,LEWIS COUNTY,TN,LEWIS,44500.0,47101.0,,,44.0,47.0
61,"Brown County, Ohio(6,10)",39015,***,107.8,95.8,120.9,60,stable,-2.9,-14.4,10.2,Brown,Brown County,BROWN COUNTY,OH,BROWN,36070.0,39015.0,17140.0,"Cincinnati, OH-KY-IN",36.0,39.0
62,"Clinton County, Kentucky(7,8)",21053,***,107.7,84.5,136,15,stable,2.1,-2.3,6.8,Clinton,Clinton County,CLINTON COUNTY,KY,CLINTON,18260.0,21053.0,,,18.0,21.0
63,"Magoffin County, Kentucky(7,8)",21153,***,107.7,85,134.8,16,stable,-0.3,-2.9,2.4,Magoffin,Magoffin County,MAGOFFIN COUNTY,KY,MAGOFFIN,18760.0,21153.0,,,18.0,21.0
64,"Scott County, Tennessee(6,10)",47151,***,107.5,90.4,127,29,stable,-2.8,-16,12.4,Scott,Scott County,SCOTT COUNTY,TN,SCOTT,44750.0,47151.0,,,44.0,47.0
65,"St. Francois County, Missouri(6,10)",29187,***,107.1,97,118,83,stable,0.8,-5.4,7.4,St Francois,St Francois County,ST FRANCOIS COUNTY,MO,,,,,,,
66,"Mingo County, West Virginia(6,10)",54059,***,106.8,91.1,124.7,35,stable,3.8,-18.5,32.3,Mingo,Mingo County,MINGO COUNTY,WV,MINGO,51290.0,54059.0,,,51.0,54.0
67,"Cumberland County, Kentucky(7,8)",21057,***,106.5,80,140.3,11,stable,3.7,-0.1,7.8,Cumberland,Cumberland County,CUMBERLAND COUNTY,KY,CUMBERLAND,18271.0,21057.0,,,18.0,21.0
68,"Campbell County, Tennessee(6,10)",47013,***,105.8,94.1,118.7,62,stable,4.8,-12.5,25.6,Campbell,Campbell County,CAMPBELL COUNTY,TN,CAMPBELL,44060.0,47013.0,28940.0,"Knoxville, TN",44.0,47.0
69,"Heard County, Georgia(7,8)",13149,***,105.8,82.5,134,15,stable,0.7,-2.3,3.9,Heard,Heard County,HEARD COUNTY,GA,HEARD,11590.0,13149.0,12060.0,"Atlanta-Sandy Springs-Roswell, GA",11.0,13.0
70,"Greenup County, Kentucky(7,8)",21089,***,105.6,93.2,119.4,54,stable,1.1,-0.5,2.7,Greenup,Greenup County,GREENUP COUNTY,KY,GREENUP,18440.0,21089.0,26580.0,"Huntington-Ashland, WV-KY-OH",18.0,21.0
71,"Clay County, West Virginia(6,10)",54015,***,105.6,81.3,135.6,14,stable,0.2,-13.8,16.5,Clay,Clay County,CLAY COUNTY,WV,CLAY,51070.0,54015.0,16620.0,"Charleston, WV",51.0,54.0
72,"Union County, Kentucky(7,8)",21225,***,105.3,84,130.4,18,stable,-0.8,-3.2,1.6,Union,Union County,UNION COUNTY,KY,UNION,18985.0,21225.0,,,18.0,21.0
73,"Dunklin County, Missouri(6,10)",29069,***,105.1,91.4,120.5,43,stable,6.4,-9.5,25.2,Dunklin,Dunklin County,DUNKLIN COUNTY,MO,DUNKLIN,26340.0,29069.0,,,26.0,29.0
74,"Pope County, Illinois(6,10)",17151,***,105.1,71.2,152.4,7,stable,1.3,-8.6,12.3,Pope,Pope County,POPE COUNTY,IL,POPE,14831.0,17151.0,,,14.0,17.0
75,"Franklin County, Illinois(6,10)",17055,***,105,93.3,118,60,stable,8,-8.6,27.6,Franklin,Franklin County,FRANKLIN COUNTY,IL,FRANKLIN,14360.0,17055.0,,,14.0,17.0
76,"Daviess County, Kentucky(7,8)",21059,***,104.9,96.7,113.5,126,stable,0.2,-1.3,1.8,Daviess,Daviess County,DAVIESS COUNTY,KY,DAVIESS,18290.0,21059.0,36980.0,"Owensboro, KY",18.0,21.0
77,"Humphreys County, Tennessee(6,10)",47085,***,104.8,88,124.3,28,stable,-0.1,-20,24.6,Humphreys,Humphreys County,HUMPHREYS COUNTY,TN,HUMPHREYS,44420.0,47085.0,,,44.0,47.0
78,"Taylor County, Kentucky(7,8)",21217,***,104.8,89.4,122.3,34,stable,0.2,-1.5,1.9,Taylor,Taylor County,TAYLOR COUNTY,KY,TAYLOR,18981.0,21217.0,,,18.0,21.0
