County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,County,CountyName1,CountyName,State
"Union County, Florida(6,10)",12125,***,224.2,191.2,261.3,38,stable,4.9,-10.6,23.1,Union,Union County,UNION COUNTY,FL
"Owsley County, Kentucky(7,8)",21189,***,169.9,126.9,224.4,11,rising,4,0.2,7.9,Owsley,Owsley County,OWSLEY COUNTY,KY
"McCreary County, Kentucky(7,8)",21147,***,163.2,138.6,191.1,33,stable,-0.1,-2.6,2.4,McCreary,McCreary County,MCCREARY COUNTY,KY
"Powell County, Kentucky(7,8)",21197,***,153.9,126.6,185.8,23,stable,1.4,-2.6,5.5,Powell,Powell County,POWELL COUNTY,KY
"Leslie County, Kentucky(7,8)",21131,***,147.6,120.5,179.5,22,stable,0.5,-3,4.1,Leslie,Leslie County,LESLIE COUNTY,KY
"North Slope Borough, Alaska(6,10)",2185,***,146.1,92.4,215.8,6,stable,-12,-44.1,38.5,North Slope,North Slope County,NORTH SLOPE COUNTY,AK
"Floyd County, Kentucky(7,8)",21071,***,139.5,124.8,155.5,69,stable,-0.9,-2.9,1,Floyd,Floyd County,FLOYD COUNTY,KY
"Martin County, Kentucky(7,8)",21159,***,132.7,106.7,163.2,19,stable,0.3,-2.6,3.4,Martin,Martin County,MARTIN COUNTY,KY
"Bracken County, Kentucky(7,8)",21023,***,131.4,101.9,167.3,14,stable,0.8,-2.8,4.5,Bracken,Bracken County,BRACKEN COUNTY,KY
"Perry County, Kentucky(7,8)",21193,***,129,112.5,147.5,46,stable,-2.1,-5,0.9,Perry,Perry County,PERRY COUNTY,KY
"Harlan County, Kentucky(7,8)",21095,***,126.6,110.6,144.4,47,stable,0.6,-1.6,2.9,Harlan,Harlan County,HARLAN COUNTY,KY
"Estill County, Kentucky(7,8)",21065,***,125.3,103.4,150.8,24,stable,1.9,-0.6,4.5,Estill,Estill County,ESTILL COUNTY,KY
"Hart County, Kentucky(7,8)",21099,***,124.9,105.5,147.2,30,stable,1.5,-0.6,3.6,Hart,Hart County,HART COUNTY,KY
"Gallatin County, Kentucky(7,8)",21077,***,123,91.1,162.5,11,stable,0.1,-5,5.4,Gallatin,Gallatin County,GALLATIN COUNTY,KY
"Grayson County, Kentucky(7,8)",21085,***,122.8,106.2,141.4,40,stable,-11.1,-25.8,6.4,Grayson,Grayson County,GRAYSON COUNTY,KY
"Pike County, Kentucky(7,8)",21195,***,122.1,111.3,133.7,98,stable,0.5,-0.9,2,Pike,Pike County,PIKE COUNTY,KY
"Knott County, Kentucky(7,8)",21119,***,121.9,100.7,146.5,25,stable,4.4,-1.8,11,Knott,Knott County,KNOTT COUNTY,KY
